Age	Education	Income
25	12	15000
25	13	30000
25	14	40000
26	12	16000
26	13	35000
26	14	42000
27	12	20000
27	13	22000
27	14	45000
28	12	22000
28	13	40000
28	14	50000
29	12	25000
29	13	43000
29	14	55000
30	12	27000
30	13	45000
30	14	57000
31	12	28000
31	13	47000
31	14	59000
32	12	27500
32	13	49000
32	14	60000
33	12	28000
33	13	50000
33	14	60000
34	12	29000
34	13	51000
34	14	61000
35	12	30000
35	13	52000
35	14	63000
36	12	30000
36	13	55000
36	14	65000
37	12	30000
37	13	55000
37	14	66000
38	12	30000
38	13	56000
38	14	68000
39	12	30000
39	13	58000
39	14	70000
40	12	35000
40	13	60000
40	14	75000
